n,w,depth,minDist,avegDist
1000,10,1,0.020606060606060607,0.04837230056606205
10000,10,1,0.09090909090909091,0.2315440875525877
100000,10,1,0.379746835443038,0.9781948777935685
1000000,10,1,0.42857142857142855,1.3098873275024543
10000000,10,1,0.6666666666666666,1.409952387906601
1000,10,3,0.074,0.11726836736736741
10000,10,3,0.09456264775413711,0.14591787684664412
100000,10,3,0.23017902813299232,0.4186617482686765
1000000,10,3,0.3545816733067729,0.608854615409199
10000000,10,3,0.3543307086614173,0.6360673863400395
1000,10,5,0.123,0.19627299299299303
10000,10,5,0.14735772357723578,0.20105748534239173
100000,10,5,0.19751552795031055,0.31905756795853013
1000000,10,5,0.26156941649899396,0.44168886093678345
10000000,10,5,0.3125,0.461464585106015
1000,10,7,0.183,0.2746681061061062
10000,10,7,0.208,0.2775020172522732
100000,10,7,0.23809523809523808,0.3287573323602486
1000000,10,7,0.28263795423956933,0.40539966774429737
10000000,10,7,0.3089887640449438,0.4255062329955202
1000,10,9,0.236,0.35257040840840825
10000,10,9,0.257,0.35831992508741217
100000,10,9,0.2797558494404883,0.37510277582787904
1000000,10,9,0.3086283185840708,0.42116640570813324
10000000,10,9,0.3236994219653179,0.4290638329336732
1000,10,11,0.285,0.4310815375375374
10000,10,11,0.333,0.4368777297297297
100000,10,11,0.33933933933933935,0.44242701922761246
1000000,10,11,0.3567681007345226,0.4655292889868186
10000000,10,11,0.35789473684210527,0.4728590865837291
1000,10,13,0.337,0.5096430670670672
10000,10,13,0.394,0.5161133053053053
100000,10,13,0.403420523138833,0.5199436274092198
1000000,10,13,0.3981670061099796,0.528994386655336
10000000,10,13,0.4077471967380224,0.5326601884113799
1000,10,15,0.387,0.5863536276276274
10000,10,15,0.458,0.5961274224224224
100000,10,15,0.466,0.59632790435735
1000000,10,15,0.46038114343029085,0.6001319745354283
10000000,10,15,0.46184738955823296,0.6011933572032621
1000,10,17,0.421,0.6674308608608607
10000,10,17,0.51,0.6754862182182184
100000,10,17,0.511,0.6768466837845921
1000000,10,17,0.531,0.6777014751605411
10000000,10,17,0.5,0.6790264889226238
1000,10,19,0.5,0.7427822882882882
10000,10,19,0.576,0.7550659749749749
100000,10,19,0.58,0.7569371521521522
1000000,10,19,0.58,0.7569948026470318
10000000,10,19,0.58,0.7581510392502784
